level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,7,1,1,1,128,2467,444,40,95.813766,AFGHANISTAN
2,1,8,0,0,0,172,2551,1688,186,-1.0,
3,1,8,1,0,0,172,2551,1687,89,-1.0,
4,1,8,1,1,0,172,2551,1687,40,-1.0,
5,1,8,1,1,1,172,2551,81,28,91.097939,Mar.
5,1,8,1,1,2,281,2560,12,19,72.098152,1
5,1,8,1,1,3,367,2552,221,36,74.503975,Regulations
5,1,8,1,1,4,611,2553,194,36,96.537285,respecting
5,1,8,1,1,5,825,2558,173,25,96.678734,contracts
5,1,8,1,1,6,1020,2555,152,29,96.230865,between
5,1,8,1,1,7,1197,2553,55,30,96.667725,the
5,1,8,1,1,8,1276,2553,230,38,95.805832,Afghanistan
5,1,8,1,1,9,1531,2555,236,29,96.400085,Government
5,1,8,1,1,10,1792,2557,67,28,96.610641,and
4,1,8,1,2,0,365,2597,1010,43,-1.0,
5,1,8,1,2,1,365,2597,103,31,96.644714,aliens
5,1,8,1,2,2,492,2600,156,37,96.597878,entering
5,1,8,1,2,3,673,2600,44,29,96.804527,its
5,1,8,1,2,4,743,2601,139,28,93.282486,service.
5,1,8,1,2,5,912,2601,115,36,91.030464,"(Islah,"
5,1,8,1,2,6,1055,2603,79,33,95.729774,17th
5,1,8,1,2,7,1160,2601,90,38,96.396301,"May,"
5,1,8,1,2,8,1281,2603,94,37,96.033554,1936)
3,1,8,2,0,0,172,2645,1688,92,-1.0,
4,1,8,2,1,0,172,2645,1688,42,-1.0,
5,1,8,2,1,1,172,2645,76,30,95.701683,Oct.
5,1,8,2,1,2,274,2653,39,27,87.964714,30
5,1,8,2,1,3,368,2645,221,36,87.964714,Regulations
5,1,8,2,1,4,613,2648,147,37,96.399551,relating
5,1,8,2,1,5,787,2652,33,25,96.533493,to
5,1,8,2,1,6,845,2648,58,29,96.68644,the
5,1,8,2,1,7,927,2649,194,36,96.166336,protection
5,1,8,2,1,8,1147,2649,67,28,96.166336,and
5,1,8,2,1,9,1238,2649,96,30,96.159851,relief
5,1,8,2,1,10,1357,2649,35,30,93.292709,of
5,1,8,2,1,11,1418,2649,213,31,91.480713,necessitous
5,1,8,2,1,12,1647,2659,143,28,93.230118,persons
5,1,8,2,1,13,1813,2652,47,28,91.151611,in-
4,1,8,2,2,0,367,2692,1256,45,-1.0,
5,1,8,2,2,1,367,2692,140,45,96.062828,capable
5,1,8,2,2,2,529,2695,35,28,96.47377,of
5,1,8,2,2,3,585,2696,92,28,96.178734,work
5,1,8,2,2,4,701,2699,67,28,95.294525,and
5,1,8,2,2,5,793,2696,87,29,95.294525,their
5,1,8,2,2,6,903,2697,223,36,96.437439,dependants.
5,1,8,2,2,7,1163,2696,107,36,96.322197,"(Anis,"
5,1,8,2,2,8,1296,2697,79,34,96.731346,17th
5,1,8,2,2,9,1400,2697,102,35,96.508652,"June,"
5,1,8,2,2,10,1527,2697,96,38,95.139061,1936)
2,1,9,0,0,0,129,2768,1442,87,-1.0,
3,1,9,1,0,0,129,2768,1442,87,-1.0,
4,1,9,1,1,0,129,2768,1442,42,-1.0,
5,1,9,1,1,1,129,2769,102,30,96.438896,AGRA
5,1,9,1,1,2,257,2776,72,22,90.783928,AND
5,1,9,1,1,3,356,2768,119,36,34.475418,"OupH,"
5,1,9,1,1,4,503,2768,144,31,26.683487,Unitep
5,1,9,1,1,5,676,2771,204,31,35.465324,Provinces
5,1,9,1,1,6,907,2781,57,21,81.371552,oF:
5,1,9,1,1,7,992,2783,54,20,95.873238,see
5,1,9,1,1,8,1072,2775,112,35,96.192986,"India,"
5,1,9,1,1,9,1214,2773,141,30,96.270523,British:
5,1,9,1,1,10,1389,2775,182,29,96.684433,Provinces.
4,1,9,1,2,0,130,2816,945,39,-1.0,
5,1,9,1,2,1,130,2817,190,29,96.26767,ALABAMA:
5,1,9,1,2,2,345,2825,54,22,95.213326,See
5,1,9,1,2,3,428,2816,119,30,83.286865,United
5,1,9,1,2,4,573,2817,106,30,95.926529,States
5,1,9,1,2,5,705,2820,32,35,96.759827,of
5,1,9,1,2,6,760,2820,171,30,96.144829,America:
5,1,9,1,2,7,960,2821,115,30,96.002556,States.
2,1,10,0,0,0,131,2921,272,39,-1.0,
3,1,10,1,0,0,131,2921,272,39,-1.0,
4,1,10,1,1,0,131,2921,272,39,-1.0,
5,1,10,1,1,1,131,2921,272,39,96.737556,ALBANIA
2,1,11,0,0,0,174,3005,1693,282,-1.0,
