country,region,text,page
TRATADOS Y ACUERDOS INTERNACIONALES,Paises BajosSuecia,"del Trabajo 1984—Lista num. 2  LISTA DE DISPOSICIONES LEGISLATIVAS RECIENTES  La presente lista relaciona las disposiciones legislativas en materia de trabajo, seguridad  ",6
TRATADOS Y ACUERDOS INTERNACIONALES,Paises BajosSuecia,social y cuestiones conexas publicadas en los periddicos oficiales recientemente recibidos en la  ,6
TRATADOS Y ACUERDOS INTERNACIONALES,cion en la Serie Legislativa,rencia a ella correspondiente a una disposicién anterior a aquel aro indica la edicién  ,6
REPUBLICA FEDERAL DE ALEMANIA,,"1/11/1983 Tercera ley modificatoria del Cédigo del Trabajo Maritimo [SL 1957—Al.  (RF) 4}. (Bundesgesetzblatt, parte 1,4 marzo 1983, num. 9.)  {Numerosas modificaciones.]}  ",6
REPUBLICA FEDERAL DE ALEMANIA,,"24/V/1983 *Nuevo tenor de la ley federal [de 30 de junio 1961: SL 1961—AI. (RF) 5] sobre  ia ayuda social. (Ibid., 1.° junio 1983, num. 23.)  {Entrada en vigor: 1.° julio 1983.]  ",6
REPUBLICA FEDERAL DE ALEMANIA,,"6/V1/1983 Notificacién del nuevo tenor de la ley federal sobre la promocion de la formacién  en el plano individual. Ley federal sobre la promocion de la formacion. (Ibid., 8 junio  1983, num. 24.)  ",6
ANGOLA,,"14/1H/1983 Ley 2 por la que se establece ei régimen discipiinario de ios trabajaduies yue  ejerzan cargos en virtud de un nombramiento. (Didrio da Republica, 25 marzo 1983,  num. 70.)  ",6
ARGENTINA,,"10/11/1983 Decreto 553 de reglamentacién de la ley 22752 sobre el subsidio por desocupa-  cin. (Boletin Oficial, 7 abril 1983, num. 25146.)  ",6
AUSTRIA,,"3/11/1983 Ley federal sobre el descanso semanal y el descanso en dias feriados. Ley sobre los  dias de descanso—ARG. (Bundesgesetzbiatt, 8 marzo 1983, num. 59, texto 144.)  [Entrada en vigor: 1.° julio 1984.]  ",6
AUSTRIA,,"21/1/1983 Ley federal modificatoria de la ley de 1979 sobre la funcidn publica, de la ley fe-  deral de 1948 sobre los empleados ocupados en virtud de un contrato y de la ley federal  sobre las condiciones de trabajo de los empleados en la silvicultura. (/bid., 4 marzo 1983,  num. 56, texto 137.)  ",6
AUSTRIA,,"21/11/1983 Ley federal modificatoria de la ley federal sobre la representacion del personal de  la administracion federal. (/bid., 4 marzo 1983, num. 56, texto 138.)  ",6
AUSTRIA,,"2/111/1983 Ley federal modificatoria de la ley [de 31 marzo 1965 (SL 1965—Aus. 1)] sobre la -  responsabilidad de los trabajadores. (/bid., 22 marzo 1983, num. 71, texto 169.)  ",6
AUSTRIA,,"11/11/1983 Orden del Ministro Federal de la Administracion Social por la que se dictan dis- -  posiciones generales sobre la proteccion de la vida, la salud y la moralidad de los  trabajadores. Orden general sobre la proteccion de los trabajadores. (Ibid., 7 abril 1983,  num. 87, texto 218.)  {Dictada en aplicacion de la ley de 1972 (texto 234) (SL 1972—Aus. 1) sobre la proteccién  de los trabajadores.]  ",6
BARBADOS,,"29/1V/1983 Ley 17 por la que se revisa y codifica la legislacion relativa a las fabricas y a la  seguridad, higiene y bienestar de las personas empleadas en ellas. Ley de 1982 sobre las  Jabricas. (Official Gazette, 9 mayo 1983, suplemento.)  ",6
BARBADOS,,Copyrigh © Organizacién Internacional del Trabajo 1984 2/1984  2 (162)  ,6
BELGICA,,"24/11/1983 Real orden de aplicacién del art. 42bis de las leyes coordinadas relativas a los  subsidios familiares para los trabajadores asalariados. (Moniteur belge — Belgisch Staats-  blad, 30 marzo 1983, num. 62.)  ",7
BELGICA,,"1/111/1983 Real orden modificatoria del art. 143bis de la real orden de 20 dic. 1963 [SL  1963—Beél. 2 ... 1967—Bél. 2A] relativa al empleo y al desempleo. (/bid., 31 marzo  1983, num. 63.)  {Modifica, en particular, el art. 143bis.]  ",7
BELGICA,,"7/N/1983 Real orden modificatoria de la real orden de 8 abril 1976 por la que se establece el  régimen de prestaciones familiares en beneficio de los trabajadores independientes. (/bid.,  9 abril 1983, num. 69.)  {En particular, inserta un art. 20bis relativo a los subsidios familiares para hijos minusva-  lidos.]  ",7
BELGICA,,"18/11I/1983 Real orden modificatoria de la real orden de 28 nov. 1969 de aplicacion de la ley  de 27 junio 1969 [SL 1969—Bél. |] por la que se revisa la orden-ley de 28 dic. 1944 sobre  la seguridad social de los trabajadores. (/bid., 30 marzo 1983, num. 62.)  {Inserta una seccion 2bis (disposicion relativa a los médicos que adquieran formacion de  médico especialista).]  ",7
BELGICA,,"12/1V/1983 Real orden por la que se modifican los arts. 118, 123, 131, 150 y 160 de la real  orden de 20 dic. 1963 [SL 1963—Bel. 2 ... 1967—Bél. 2A] relativa al empleo y al desem-  pleo. (/bid., 28 abril 1983, num. 82.)  ",7
BELGICA,,"12/1V/1983 Real orden que modifica el art. 123 de la real orden de 20 dic. 1963 [SL  1963—Bél. 2 ... 1967—Bél. 2A} relativa al empleo y al desempleo. (/bid.)  [El] desempleado, esté o no esté indemnizado, que voluntariamente renuncia al beneficio  de los subsidios de desempleo conserva la calidad de beneficiario durante el periodo de re-  nuncia.}  ",7
BELGICA,,12/1V/1983 Real orden por la que se modifica el art. 124 de la real orden de 20 dic. 1963  (SL 1963—Bél. 2 ... 1967—Bél. 2A] relativa al empleo y al desempleo. (/bid.)  {(Concierne al desempleo de los jévenes.]  ,7
BELGICA,,"21/1V/1983 Real orden que modifica la real orden de 28 dic. 1971 por la que se determinan  las reglas especiales de aplicacién a la gente de mar de la ley de 10 abril 1971 [SL  197 1—Bél. 3] sobre los accidentes del trabajo. (/bid., 27 abril 1983, num. 81.)  [Reemplaza los anexos | y 2 de la citada orden.}  ",7
BULGARIA,,"— Ordenanza 14 del Ministerio de la Salud Publica y del Consejo Central de Sindicatos Bul-  garos relativa a los reconocimientos médicos preliminares y periddicos de los obreros y  los empleados. (D 'rzhaven Vestnik, 15 marzo 1983, num. 21.)  ",7
